probe	SYMBOL	ENTREZID	Length
ENSG00000164756.12	SLC30A8	169026	6279
ENSG00000117115.12	PADI2	11240	5984
ENSG00000211955.2	IGHV3-33	28434	431
ENSG00000133142.17	TCEAL4	79921	2518
ENSG00000240801.1	NA	NA	373
ENSG00000182774.10	RPS17	6218	3812
ENSG00000112306.7	RPS12	6206	767
ENSG00000148053.15	NTRK2	4915	20363
ENSG00000213853.9	EMP2	2013	8718
ENSG00000123562.16	MORF4L2	9643	2648
ENSG00000130303.12	BST2	684	1119
ENSG00000109846.7	CRYAB	1410	3034
ENSG00000127603.23	MACF1	23499	43102
ENSG00000216490.3	IFI30	10437	2481
ENSG00000165272.14	AQP3	360	2928
ENSG00000279605.1	NA	NA	4947
ENSG00000044115.20	CTNNA1	1495	8830
ENSG00000170345.9	FOS	2353	3238
ENSG00000143153.12	ATP1B1	481	2962
ENSG00000006831.9	ADIPOR2	79602	5878
ENSG00000086758.15	HUWE1	10075	17380
ENSG00000156234.7	CXCL13	10563	1431
ENSG00000139629.15	GALNT6	11226	7347
ENSG00000091986.15	CCDC80	151887	13071
ENSG00000162889.10	MAPKAPK2	9261	4195
ENSG00000143621.16	ILF2	3608	2281
ENSG00000105568.17	PPP2R1A	5518	7437
ENSG00000240342.3	RPS2P5	100130562	879
ENSG00000146476.10	ARMT1	79624	2819
ENSG00000078369.17	GNB1	2782	6417
ENSG00000122786.19	CALD1	800	9843
ENSG00000200087.1	SNORA73B	26768	204
ENSG00000125844.15	RRBP1	6238	6980
ENSG00000198300.12	PEG3	5178	9278
ENSG00000007062.11	PROM1	8842	7434
ENSG00000173369.15	C1QB	713	1601
ENSG00000182670.13	TTC3	7267	15883
ENSG00000112996.10	MRPS30	10884	6202
ENSG00000229776.1	C2-AS1	102060414	2095
ENSG00000182871.14	COL18A1	80781	8525
ENSG00000179593.15	ALOX15B	247	3028
ENSG00000106483.11	SFRP4	6424	3606
ENSG00000108946.14	PRKAR1A	5573	6821
ENSG00000147403.16	RPL10	6134	4825
ENSG00000169245.5	CXCL10	3627	1176
ENSG00000186468.12	RPS23	6228	4204
ENSG00000117298.14	ECE1	1889	7265
ENSG00000156650.12	KAT6B	23522	13400
ENSG00000170348.8	TMED10	10972	4974
ENSG00000132746.14	ALDH3B2	222	3235
ENSG00000099994.10	SUSD2	56241	5279
ENSG00000173812.10	EIF1	10209	3623
ENSG00000134569.9	LRP4	4038	8597
ENSG00000162909.17	CAPN2	824	8792
ENSG00000081277.12	PKP1	5317	6211
ENSG00000116209.11	TMEM59	9528	9149
ENSG00000197111.15	PCBP2	5094	7926
ENSG00000165119.20	HNRNPK	3190	5114
ENSG00000131238.16	PPT1	5538	3306
ENSG00000159388.5	BTG2	7832	2757
ENSG00000188643.10	S100A16	140576	1701
ENSG00000102910.13	LONP2	83752	9957
ENSG00000025796.13	SEC63	11231	8587
ENSG00000101210.10	EEF1A2	1917	2006
ENSG00000214389.2	RPS3AP26	644972	784
ENSG00000148154.9	UGCG	7357	4615
ENSG00000159403.15	C1R	715	5672
ENSG00000108244.16	KRT23	25984	2902
ENSG00000106153.12	CHCHD2	51142	1132
ENSG00000163683.11	SMIM14	201895	6721
ENSG00000275395.4	FCGBP	8857	12961
ENSG00000163631.16	ALB	213	3377
ENSG00000057608.16	GDI2	2665	4033
ENSG00000175264.7	CHST1	8534	3478
ENSG00000060237.16	WNK1	65125	14370
ENSG00000240972.1	MIF	4282	1109
ENSG00000198502.5	HLA-DRB5	3127	1260
ENSG00000214548.14	MEG3	55384	15769
ENSG00000184956.15	MUC6	4588	8428
ENSG00000239264.8	TXNDC5	81567	4387
ENSG00000276293.4	PIP4K2B	8396	6135
ENSG00000154978.12	VOPP1	81552	5364
ENSG00000223865.10	HLA-DPB1	3115	2791
ENSG00000166794.4	PPIB	5479	1911
ENSG00000019505.7	SYT13	57586	5424
ENSG00000259040.5	BLOC1S5-TXNDC5	100526836	3030
ENSG00000137745.11	MMP13	4322	2834
ENSG00000137076.20	TLN1	7094	10076
ENSG00000183255.11	PTTG1IP	754	3537
ENSG00000159377.10	PSMB4	5692	2158
ENSG00000168461.12	RAB31	11031	5586
ENSG00000162734.12	PEA15	8682	2806
ENSG00000218537.1	NA	NA	1476
ENSG00000101443.17	WFDC2	10406	1382
ENSG00000101670.11	LIPG	9388	13112
ENSG00000108344.14	PSMD3	5709	4964
ENSG00000124155.17	PIGT	51604	19670
ENSG00000137975.7	CLCA2	9635	4496
ENSG00000071082.10	RPL31	6160	5791
ENSG00000197694.15	SPTAN1	6709	16236
ENSG00000104517.12	UBR5	51366	13085
ENSG00000131747.14	TOP2A	7153	6437
ENSG00000211651.3	IGLV1-44	28823	467
ENSG00000143612.19	C1orf43	25912	2590
ENSG00000166441.12	RPL27A	6157	7193
ENSG00000067167.7	TRAM1	23471	3878
ENSG00000168610.14	STAT3	6774	8812
ENSG00000152234.15	ATP5F1A	498	10908
ENSG00000058262.9	SEC61A1	29927	4697
ENSG00000165280.15	VCP	7415	5438
ENSG00000188001.9	TPRG1	285386	9535
ENSG00000099622.13	CIRBP	1153	6368
ENSG00000244398.1	RPL36AP37	729362	321
ENSG00000253719.3	ATXN7L3B	552889	7604
ENSG00000187608.8	ISG15	9636	942
ENSG00000104738.16	MCM4	4173	6824
ENSG00000177697.17	CD151	977	3938
ENSG00000182899.14	RPL35A	6165	2977
ENSG00000117472.9	TSPAN1	10103	2366
ENSG00000143537.13	ADAM15	8751	6584
ENSG00000213639.9	PPP1CB	5500	5760
ENSG00000198589.10	LRBA	987	14929
ENSG00000162244.10	RPL29	6159	1912
ENSG00000271581.1	NA	NA	991
ENSG00000115221.10	ITGB6	3694	6357
ENSG00000138760.9	SCARB2	950	19341
ENSG00000150753.11	CCT5	22948	5839
ENSG00000130255.12	RPL36	25873	2272
ENSG00000133872.13	SARAF	51669	2990
ENSG00000115306.15	SPTBN1	6711	18504
ENSG00000185201.16	IFITM2	10581	1543
ENSG00000141750.6	STAC2	342667	3362
ENSG00000102265.11	TIMP1	7076	1541
ENSG00000196531.10	NACA	4666	10008
ENSG00000158769.17	F11R	50848	5066
ENSG00000181019.12	NQO1	1728	3254
ENSG00000163040.14	CCDC74A	90557	3077
ENSG00000159176.13	CSRP1	1465	10318
ENSG00000187720.14	THSD4	79875	15837
ENSG00000231925.11	TAPBP	6892	5056
ENSG00000205002.3	AARD	441376	2412
ENSG00000221983.7	UBA52	7311	4306
ENSG00000172061.8	LRRC15	131578	5940
ENSG00000173467.8	AGR3	155465	1160
ENSG00000134250.19	NOTCH2	4853	16807
ENSG00000129353.14	SLC44A2	57153	5216
ENSG00000161960.14	EIF4A1	1973	5316
ENSG00000175352.10	NRIP3	56675	4123
ENSG00000104964.14	TLE5	166	5298
ENSG00000168528.11	SERINC2	347735	3549
ENSG00000096060.14	FKBP5	2289	10628
ENSG00000145730.20	PAM	5066	8846
ENSG00000172057.9	ORMDL3	94103	3752
ENSG00000227766.1	NA	NA	993
ENSG00000189334.8	S100A14	57402	1277
ENSG00000185043.10	CIB1	10519	1367
ENSG00000172037.13	LAMB2	3913	6865
ENSG00000167531.6	LALBA	3906	1247
ENSG00000152583.12	SPARCL1	8404	3477
ENSG00000112379.8	ARFGEF3	57221	14877
ENSG00000160294.10	MCM3AP	8888	9360
ENSG00000138650.8	PCDH10	57575	10161
ENSG00000188157.14	AGRN	375790	10758
ENSG00000109861.15	CTSC	1075	11421
ENSG00000113712.17	CSNK1A1	1452	7714
ENSG00000091409.14	ITGA6	3655	6533
ENSG00000170419.10	VSTM2A	222008	5967
ENSG00000211937.3	IGHV2-5	28457	378
ENSG00000137673.8	MMP7	4316	2323
ENSG00000086598.10	TMED2	10959	3830
ENSG00000085719.12	CPNE3	8895	6745
ENSG00000257315.2	ZBED6	100381270	12481
ENSG00000173193.13	PARP14	54625	10495
ENSG00000102575.10	ACP5	54	2814
ENSG00000125148.6	MT2A	4502	1299
ENSG00000074696.12	HACD3	51495	7097
ENSG00000147649.9	MTDH	92140	6391
ENSG00000184007.18	PTP4A2	8073	6267
ENSG00000058673.16	ZC3H11A	9877	12798
ENSG00000101160.13	CTSZ	1522	2038
ENSG00000148346.11	LCN2	3934	1598
ENSG00000196735.11	HLA-DQA1	3117	6927
ENSG00000168385.17	SEPTIN2	4735	7378
ENSG00000071553.16	ATP6AP1	537	4884
ENSG00000239975.2	IGKV1D-33	28896	479
ENSG00000052344.15	PRSS8	5652	3010
ENSG00000125534.9	PPDPF	79144	1094
ENSG00000234961.1	NA	NA	706
ENSG00000163479.13	SSR2	6746	6651
ENSG00000196074.12	SYCP2	10388	6466
ENSG00000147535.16	PLPP5	84513	4102
ENSG00000084463.7	WBP11	51729	5315
ENSG00000117228.9	GBP1	2633	4992
ENSG00000155660.10	PDIA4	9601	3277
ENSG00000065150.18	IPO5	3843	9671
ENSG00000277443.2	MARCKS	4082	4275
ENSG00000143126.7	CELSR2	1952	12349
ENSG00000062038.13	CDH3	1001	6236
ENSG00000143387.12	CTSK	1513	1887
ENSG00000204469.12	PRRC2A	7916	9115
ENSG00000008441.16	NFIX	4784	6302
ENSG00000104904.12	OAZ1	4946	3436
ENSG00000159399.9	HK2	3099	6064
ENSG00000131236.16	CAP1	10487	3814
ENSG00000142102.15	PGGHG	80162	5260
ENSG00000110917.7	MLEC	9761	6723
ENSG00000139289.13	PHLDA1	22822	8069
ENSG00000196611.4	MMP1	4312	1970
ENSG00000137509.10	PRCP	5547	12798
ENSG00000121064.12	SCPEP1	59342	3853
ENSG00000143799.12	PARP1	142	7169
ENSG00000149428.18	HYOU1	10525	7694
ENSG00000187097.12	ENTPD5	957	10379
ENSG00000131620.17	ANO1	55107	6021
ENSG00000174437.16	ATP2A2	488	13745
ENSG00000169100.13	SLC25A6	293	2164
ENSG00000130723.18	NA	NA	12294
ENSG00000145632.14	PLK2	10769	4768
ENSG00000174903.15	RAB1B	81876	2007
ENSG00000188229.5	TUBB4B	10383	2111
ENSG00000143420.18	ENSA	2029	5493
ENSG00000161970.12	RPL26	6154	2472
ENSG00000131203.12	IDO1	3620	3261
ENSG00000126247.10	CAPNS1	826	3478
ENSG00000063046.17	EIF4B	1975	6146
ENSG00000174231.16	PRPF8	10594	11355
ENSG00000160014.16	CALM3	808	3667
ENSG00000242299.1	RPS18P5	100131863	459
ENSG00000169439.11	SDC2	6383	4536
ENSG00000132434.9	LANCL2	55915	5235
ENSG00000159189.11	C1QC	714	1335
ENSG00000108639.7	SYNGR2	9144	4074
ENSG00000136628.17	EPRS1	2058	5450
ENSG00000157765.11	SLC34A2	10568	4699
ENSG00000068697.6	LAPTM4A	9741	1946
ENSG00000108582.11	CPD	1362	12532
ENSG00000185033.14	SEMA4B	10509	7006
ENSG00000211597.2	IGKJ1	28950	38
ENSG00000172809.12	RPL38	6169	3829
ENSG00000163131.10	CTSS	1520	4228
ENSG00000065978.18	YBX1	4904	1930
ENSG00000119335.16	SET	6418	4355
ENSG00000277258.4	PCGF2	7703	3511
ENSG00000126777.17	KTN1	3895	17575
ENSG00000112576.12	CCND3	896	5802
ENSG00000111331.12	OAS3	4940	8251
ENSG00000062716.12	VMP1	81671	6916
ENSG00000225178.5	NA	NA	888
ENSG00000091947.9	TMEM101	84336	3029
ENSG00000145741.15	BTF3	689	2467
ENSG00000129116.17	PALLD	23022	10114
ENSG00000029725.16	RABEP1	9135	6531
ENSG00000112655.15	PTK7	5754	9024
ENSG00000166033.11	HTRA1	5654	2120
ENSG00000277957.1	NA	NA	3519
ENSG00000156976.16	EIF4A2	1974	6133
ENSG00000089356.18	FXYD3	5349	3334
ENSG00000104408.9	EIF3E	3646	6005
ENSG00000204256.12	BRD2	6046	7337
ENSG00000169813.16	HNRNPF	3185	3253
ENSG00000162989.4	KCNJ3	3760	5067
ENSG00000211959.2	IGHV4-39	28394	425
ENSG00000206073.10	SERPINB4	6318	2013
ENSG00000130726.11	TRIM28	10155	4034
ENSG00000184640.17	SEPTIN9	10801	12844
ENSG00000152291.13	TGOLN2	10618	7081
ENSG00000167468.16	GPX4	2879	2019
ENSG00000138071.13	ACTR2	10097	4347
ENSG00000105141.5	CASP14	23581	3497
ENSG00000215301.9	DDX3X	1654	8928
ENSG00000179010.14	MRFAP1	93621	2655
ENSG00000229124.6	VIM-AS1	100507347	1992
ENSG00000129691.15	ASH2L	9070	5910
ENSG00000163110.14	PDLIM5	10611	11090
ENSG00000138448.11	ITGAV	3685	8211
ENSG00000113013.12	HSPA9	3313	4751
ENSG00000211648.2	IGLV1-47	28822	407
ENSG00000105664.10	COMP	1311	3101
ENSG00000198668.10	CALM1	801	7705
ENSG00000186868.15	MAPT	4137	14920
ENSG00000120137.6	PANK3	79646	10580
ENSG00000134287.9	ARF3	377	5002
ENSG00000263639.5	MSMB	4477	492
ENSG00000008283.15	CYB561	1534	5320
ENSG00000118680.12	MYL12B	103910	1761
ENSG00000211973.2	IGHV1-69	28461	412
ENSG00000197043.13	ANXA6	309	5427
ENSG00000173726.10	TOMM20	9804	3542
ENSG00000135862.5	LAMC1	3915	8406
ENSG00000168615.11	ADAM9	8754	6913
ENSG00000178464.6	RPL10P16	284393	645
ENSG00000136997.16	MYC	4609	3001
ENSG00000163902.11	RPN1	6184	3992
ENSG00000282122.1	IGHV7-4-1	57289	402
ENSG00000117523.15	PRRC2C	23215	13921
ENSG00000265401.1	NA	NA	461
ENSG00000173335.4	CST9	128822	1592
ENSG00000165168.7	CYBB	1536	4423
ENSG00000129625.12	REEP5	7905	4230
ENSG00000136542.8	GALNT5	11227	6818
ENSG00000049130.14	KITLG	4254	6030
ENSG00000071537.13	SEL1L	6400	9559
ENSG00000196576.14	PLXNB2	23654	7257
ENSG00000035403.17	VCL	7414	9992
ENSG00000211660.3	IGLV2-23	28813	502
ENSG00000177885.13	GRB2	2885	4716
ENSG00000125304.8	TM9SF2	9375	3885
ENSG00000196586.13	MYO6	4646	8785
ENSG00000138119.16	MYOF	26509	8473
ENSG00000101335.9	MYL9	10398	2821
ENSG00000134419.15	RPS15A	6210	6679
ENSG00000111335.12	OAS2	4939	6264
ENSG00000123983.13	ACSL3	2181	7240
ENSG00000082781.11	ITGB5	3693	6447
ENSG00000075461.5	CACNG4	27092	3380
ENSG00000155366.16	RHOC	389	4028
ENSG00000130508.10	PXDN	7837	11257
ENSG00000197747.8	S100A10	6281	1543
ENSG00000146352.12	CLVS2	134829	11485
ENSG00000167861.15	HID1	283987	6196
ENSG00000131469.12	RPL27	6155	2026
ENSG00000111348.8	ARHGDIB	397	2102
ENSG00000142864.14	SERBP1	26135	7676
ENSG00000167986.13	DDB1	1642	13950
ENSG00000173372.16	C1QA	712	1272
ENSG00000011347.9	SYT7	9066	5953
ENSG00000112335.14	SNX3	8724	1842
ENSG00000134802.17	SLC43A3	29015	4517
ENSG00000054793.13	ATP9A	10079	8317
ENSG00000074527.11	NTN4	59277	4166
ENSG00000123066.7	MED13L	23389	17290
ENSG00000198865.9	CCDC152	100129792	3431
ENSG00000227081.5	NA	NA	255
ENSG00000120738.7	EGR1	1958	3138
ENSG00000159140.19	SON	6651	13172
ENSG00000115594.11	IL1R1	3554	7083
ENSG00000160209.18	PDXK	8566	11912
ENSG00000198618.5	NA	NA	498
ENSG00000108424.9	KPNB1	3837	7678
ENSG00000134258.16	VTCN1	79679	3027
ENSG00000151914.19	DST	667	42341
ENSG00000138615.5	CILP	8483	5695
ENSG00000262831.1	NA	NA	529
ENSG00000240040.6	NA	NA	705
ENSG00000182809.10	CRIP2	1397	4837
ENSG00000211596.3	IGKJ2	28949	39
ENSG00000111897.6	SERINC1	57515	3137
ENSG00000149115.13	TNKS1BP1	85456	7149
ENSG00000160678.11	S100A1	6271	3030
ENSG00000145920.14	CPLX2	10814	7099
ENSG00000046604.12	DSG2	1829	6190
ENSG00000210151.2	MIR12136	113219467	69
ENSG00000163453.11	IGFBP7	3490	1930
ENSG00000136636.12	KCTD3	51133	4929
ENSG00000112578.9	BYSL	705	2248
ENSG00000179950.13	PUF60	22827	5424
ENSG00000226564.1	NA	NA	548
ENSG00000163435.15	ELF3	1999	7191
ENSG00000128272.14	ATF4	468	2514
ENSG00000119888.10	EPCAM	4072	2519
ENSG00000148396.18	SEC16A	9919	9975
ENSG00000225972.1	MTND1P23	100887749	372
ENSG00000184254.16	ALDH1A3	220	5772
ENSG00000134531.9	EMP1	2012	7838
ENSG00000135218.17	CD36	948	10115
ENSG00000141522.11	ARHGDIA	396	2903
ENSG00000163347.5	CLDN1	9076	3663
ENSG00000184216.13	IRAK1	3654	4001
ENSG00000144028.14	SNRNP200	23020	10926
ENSG00000159202.17	UBE2Z	65264	5753
ENSG00000101608.12	MYL12A	10627	3245
ENSG00000124664.10	SPDEF	25803	1914
ENSG00000171302.16	CANT1	124583	4421
ENSG00000233369.7	NA	NA	3609
ENSG00000152049.6	KCNE4	23704	4124
ENSG00000147027.3	TMEM47	83604	4054
ENSG00000177469.12	CAVIN1	284119	3828
ENSG00000117595.10	IRF6	3664	4915
ENSG00000181222.15	POLR2A	5430	8355
ENSG00000187109.13	NAP1L1	4673	17355
ENSG00000147140.15	NONO	4841	5292
ENSG00000175793.11	SFN	2810	1320
ENSG00000152332.15	UHMK1	127933	9246
ENSG00000105223.19	PLD3	23646	5184
ENSG00000197965.11	MPZL1	9019	7069
ENSG00000172379.20	ARNT2	9915	7741
ENSG00000173230.15	GOLGB1	2804	11865
ENSG00000130202.9	NECTIN2	5819	3747
ENSG00000065809.13	FAM107B	83641	7019
ENSG00000196177.12	ACADSB	36	6255
ENSG00000159346.12	ADIPOR1	51094	3193
ENSG00000015479.18	MATR3	9782	12090
ENSG00000109586.11	GALNT7	51809	6865
ENSG00000213064.9	SFT2D2	375035	11221
ENSG00000170759.10	KIF5B	3799	5877
ENSG00000205609.12	EIF3CL	728689	3091
ENSG00000110958.15	PTGES3	10728	3399
ENSG00000205339.9	IPO7	10527	7245
ENSG00000132507.17	EIF5A	1984	2815
ENSG00000160213.6	CSTB	1476	3935
ENSG00000008513.14	ST3GAL1	6482	8729
ENSG00000137309.19	HMGA1	3159	2327
ENSG00000198755.10	RPL10A	4736	1501
ENSG00000115310.17	RTN4	57142	6644
ENSG00000272540.1	NA	NA	773
ENSG00000095321.16	CRAT	1384	3803
ENSG00000107581.12	EIF3A	8661	7101
ENSG00000130985.16	UBA1	7317	6437
ENSG00000175445.14	LPL	4023	4382
ENSG00000188488.13	SERPINA5	5104	3775
ENSG00000206053.12	JPT2	90861	4768
ENSG00000134294.13	SLC38A2	54407	6602
ENSG00000042493.15	CAPG	822	2607
ENSG00000113721.13	PDGFRB	5159	7137
ENSG00000066777.8	ARFGEF1	10565	10964
ENSG00000067082.14	KLF6	1316	6139
ENSG00000109475.16	RPL34	6164	3393
ENSG00000132824.13	SERINC3	10955	4683
ENSG00000133639.4	BTG1	694	4854
ENSG00000144749.13	LRIG1	26018	7032
ENSG00000135506.15	OS9	10956	5169
ENSG00000196262.13	PPIA	5478	4432
ENSG00000278196.3	IGLV2-8	28817	517
ENSG00000280987.4	MATR3	9782	6355
ENSG00000160551.11	TAOK1	57551	16980
ENSG00000130066.16	SAT1	6303	2498
ENSG00000129226.13	CD68	968	2189
ENSG00000108179.13	PPIF	10105	2674
ENSG00000168439.16	STIP1	10963	4657
ENSG00000142871.16	CCN1	3491	2455
ENSG00000048828.16	FAM120A	23196	7204
ENSG00000147862.15	NFIB	4781	12765
ENSG00000130702.15	LAMA5	3911	14291
ENSG00000184613.10	NELL2	4753	6424
ENSG00000161203.13	AP2M1	1173	4756
ENSG00000149257.13	SERPINH1	871	4914
ENSG00000179222.17	MAGED1	9500	6016
ENSG00000188846.13	RPL14	9045	8626
ENSG00000101474.11	APMAP	57136	2454
ENSG00000124766.6	SOX4	6659	5852
ENSG00000244313.3	NA	NA	498
ENSG00000119681.11	LTBP2	4053	9091
ENSG00000117114.19	ADGRL2	23266	7754
ENSG00000164111.14	ANXA5	308	3034
ENSG00000166106.3	ADAMTS15	170689	5673
ENSG00000111642.14	CHD4	1108	7474
ENSG00000168209.4	DDIT4	54541	2058
ENSG00000170004.16	CHD3	1107	9758
ENSG00000135842.16	NIBAN1	116496	8372
ENSG00000235552.4	RPL6P27	645387	872
ENSG00000224373.3	IGHV4-59	28392	495
ENSG00000246705.4	H2AJ	55766	3356
ENSG00000155093.17	PTPRN2	5799	4833
ENSG00000171603.16	CLSTN1	22883	5559
ENSG00000133169.5	BEX1	55859	864
ENSG00000197879.14	MYO1C	4641	8152
ENSG00000147526.19	TACC1	6867	12609
ENSG00000280411.1	IGHV1-69D	102723169	411
ENSG00000108256.8	NUFIP2	57532	10850
ENSG00000132386.10	SERPINF1	5176	3069
ENSG00000133083.14	DCLK1	9201	14375
ENSG00000079246.15	XRCC5	7520	5463
ENSG00000238103.4	RPL9P7	6126	580
ENSG00000180694.13	TMEM64	169200	5870
ENSG00000162522.10	NHSL3	57648	5965
ENSG00000148484.17	RSU1	6251	4191
ENSG00000183283.15	DAZAP2	9802	5731
ENSG00000106819.11	ASPN	54829	2470
ENSG00000170776.21	AKAP13	11214	20280
ENSG00000152518.7	ZFP36L2	678	3696
ENSG00000159873.9	CCDC117	150275	4326
ENSG00000092199.17	HNRNPC	3183	7309
ENSG00000071127.16	WDR1	9948	7827
ENSG00000084636.17	COL16A1	1307	9269
ENSG00000135111.15	TBX3	6926	5950
ENSG00000184110.14	EIF3C	8663	6982
ENSG00000170367.4	CST5	1473	756
ENSG00000102572.14	STK24	8428	12077
ENSG00000167085.11	PHB1	5245	3838
ENSG00000171858.17	RPS21	6227	1023
ENSG00000197766.7	CFD	1675	1222
ENSG00000196914.8	ARHGEF12	23365	24404
ENSG00000092068.19	SLC7A8	23428	5991
ENSG00000185745.9	IFIT1	3434	4613
ENSG00000144891.17	AGTR1	185	3478
ENSG00000205336.11	ADGRG1	9289	8659
ENSG00000239672.7	NME1	4830	3438
ENSG00000135677.10	GNS	2799	6284
ENSG00000005893.15	LAMP2	3920	5526
ENSG00000047849.21	MAP4	4134	14943
ENSG00000138796.16	HADH	3033	12086
ENSG00000113657.12	DPYSL3	1809	7164
ENSG00000124207.16	CSE1L	1434	3800
ENSG00000184564.8	SLITRK6	84189	4318
ENSG00000106688.11	SLC1A1	6505	3998
ENSG00000148303.16	RPL7A	6130	2242
ENSG00000085788.13	DDHD2	23259	10686
ENSG00000123104.11	ITPR2	3709	12750
ENSG00000104805.15	NUCB1	4924	3937
ENSG00000117519.15	CNN3	1266	2838
ENSG00000029534.19	ANK1	286	10799
ENSG00000235174.1	NA	NA	156
ENSG00000131473.16	ACLY	47	5217
ENSG00000277791.4	PSMB3	5691	1179
ENSG00000131724.10	IL13RA1	3597	4372
ENSG00000106261.16	ZKSCAN1	7586	10319
ENSG00000101057.15	MYBL2	4605	2777
ENSG00000169045.17	HNRNPH1	3187	9480
ENSG00000218426.5	RPL27AP6	389435	447
ENSG00000166226.12	CCT2	10576	4322
ENSG00000005022.5	SLC25A5	292	1500
ENSG00000197622.12	CDC42SE1	56882	4184
ENSG00000175216.14	CKAP5	9793	8538
ENSG00000119280.16	C1orf198	84886	5161
ENSG00000143569.18	UBAP2L	9898	7503
ENSG00000060138.12	YBX3	8531	8610
ENSG00000101444.12	AHCY	191	3894
ENSG00000177606.6	JUN	3725	3540
ENSG00000218227.3	RPL19P9	653314	591
ENSG00000117139.16	KDM5B	10765	12092
ENSG00000133318.13	RTN3	10313	5792
ENSG00000162576.16	MXRA8	54587	3622
ENSG00000153944.10	MSI2	124540	21479
ENSG00000074370.17	ATP2A3	489	6893
ENSG00000206341.7	HLA-H	3136	1096
ENSG00000173402.11	DAG1	1605	6923
ENSG00000180139.11	ACTA2-AS1	100132116	3183
ENSG00000125686.11	MED1	5469	7330
ENSG00000105323.16	HNRNPUL1	11100	6543
ENSG00000161010.14	MRNIP	51149	8496
ENSG00000189091.12	SF3B3	23450	12419
ENSG00000122565.18	CBX3	11335	4641
ENSG00000211964.3	IGHV3-48	28424	432
ENSG00000124557.12	BTN1A1	696	2895
ENSG00000008394.12	MGST1	4257	7440
ENSG00000213719.8	CLIC1	1192	1942
ENSG00000235027.1	PRADX	126568849	2015
ENSG00000138801.8	PAPSS1	9061	3478
ENSG00000164176.12	EDIL3	10085	5738
ENSG00000125107.17	CNOT1	23019	10852
ENSG00000094916.15	CBX5	23468	15040
ENSG00000101158.13	NELFCD	51497	6298
ENSG00000107438.8	PDLIM1	9124	2239
ENSG00000146729.9	NIPSNAP2	2631	5651
ENSG00000102837.6	OLFM4	10562	2897
ENSG00000215030.5	RPL13P12	388344	636
ENSG00000117394.20	SLC2A1	6513	4721
ENSG00000124795.14	DEK	7913	4361
ENSG00000181192.11	DHTKD1	55526	5281
ENSG00000069535.13	MAOB	4129	2891
ENSG00000175215.10	CTDSP2	10106	5442
ENSG00000127663.14	KDM4B	23030	14716
ENSG00000135046.13	ANXA1	301	4561
ENSG00000165731.18	RET	5979	6911
ENSG00000197324.8	LRP10	26020	7112
ENSG00000197958.12	RPL12	6136	2452
ENSG00000171951.4	SCG2	7857	2719
ENSG00000131626.16	PPFIA1	8500	10467
ENSG00000089280.18	FUS	2521	10283
ENSG00000077147.14	TM9SF3	56889	7095
ENSG00000108510.9	MED13	9969	12677
ENSG00000108588.13	CCDC47	57003	4537
ENSG00000276418.5	NA	NA	1527
ENSG00000179051.13	RCC2	55920	4126
ENSG00000103495.13	MAZ	4150	3504
ENSG00000160255.17	ITGB2	3689	6797
ENSG00000104413.15	ESRP1	54845	4875
ENSG00000204385.10	SLC44A4	80736	3369
ENSG00000136240.9	KDELR2	11014	3990
ENSG00000164944.11	VIRMA	25962	10771
ENSG00000136942.14	RPL35	11224	1535
ENSG00000089220.4	PEBP1	5037	1780
ENSG00000182481.8	KPNA2	3838	3140
ENSG00000230551.4	NA	NA	8636
ENSG00000116667.12	C1orf21	81563	10971
ENSG00000196208.13	GREB1	9687	12361
ENSG00000251357.4	NA	NA	788
ENSG00000086061.15	DNAJA1	3301	2730
ENSG00000148513.17	ANKRD30A	91074	5015
ENSG00000175274.18	TP53I11	9537	7345
ENSG00000196396.9	PTPN1	5770	4041
ENSG00000135744.7	AGT	183	2291
ENSG00000211947.2	IGHV3-21	28444	430
ENSG00000175895.3	PLEKHF2	79666	3137
ENSG00000129083.12	COPB1	1315	5131
ENSG00000120742.10	SERP1	27230	5747
ENSG00000140937.13	CDH11	1009	13381
ENSG00000163931.15	TKT	7086	9507
ENSG00000170893.3	TRH	7200	1978
ENSG00000139239.7	RPL14P1	144581	645
ENSG00000257379.1	NA	NA	1571
ENSG00000203747.10	FCGR3A	2214	2958
ENSG00000143375.14	CGN	57530	6616
ENSG00000091136.13	LAMB1	3912	8140
ENSG00000168264.10	IRF2BP2	359948	4724
ENSG00000152894.14	PTPRK	5796	9000
ENSG00000124198.8	ARFGEF2	10564	8945
ENSG00000124783.12	SSR1	6745	11349
ENSG00000122861.15	PLAU	5328	2950
ENSG00000242071.3	RPL7AP6	326310	801
ENSG00000166145.14	SPINT1	6692	3542
ENSG00000170027.6	YWHAG	7532	3750
ENSG00000137331.11	IER3	8870	1356
ENSG00000115091.11	ACTR3	10096	12049
ENSG00000100994.11	PYGB	5834	4474
ENSG00000167676.4	PLIN4	729359	6502
ENSG00000117724.12	CENPF	1063	11690
ENSG00000124193.14	SRSF6	6431	4593
ENSG00000175166.16	PSMD2	5708	5453
ENSG00000138061.11	CYP1B1	1545	6014
ENSG00000104388.14	RAB2A	5862	5654
ENSG00000167656.4	LY6D	8581	1553
ENSG00000196419.12	XRCC6	2547	3288
ENSG00000082153.17	BZW1	9689	8085
ENSG00000165215.6	CLDN3	1365	1274
ENSG00000151208.16	DLG5	9231	10271
ENSG00000185825.15	BCAP31	10134	2624
