probe	SYMBOL	ENTREZID
ENSG00000125355.15	TMEM255A	55026
ENSG00000125356.6	NDUFA1	4694
ENSG00000125363.14	AMELX	265
ENSG00000125375.14	ATP5S	27109
ENSG00000125378.15	BMP4	652
ENSG00000125384.6	PTGER2	5732
ENSG00000125386.15	FAM193A	8603
ENSG00000125388.19	GRK4	2868
ENSG00000125398.5	SOX9	6662
ENSG00000125409.12	TEKT3	64518
ENSG00000125414.18	MYH2	4620
ENSG00000125430.8	HS3ST3B1	9953
ENSG00000125434.10	SLC25A35	399512
ENSG00000125445.10	MRPS7	51081
ENSG00000125447.16	GGA3	23163
ENSG00000125449.6	ARMC7	79637
ENSG00000125450.10	NUP85	79902
ENSG00000125454.11	SLC25A19	60386
ENSG00000125457.13	MIF4GD	57409
ENSG00000125458.6	NT5C	30833
ENSG00000125459.14	MSTO1	55154
ENSG00000125462.16	C1orf61	10485
ENSG00000125482.12	TTF1	7270
ENSG00000125484.11	GTF3C4	9329
ENSG00000125485.17	DDX31	64794
ENSG00000125492.9	BARHL1	56751
ENSG00000125498.19	KIR2DL1	3802
ENSG00000125503.12	PPP1R12C	54776
ENSG00000125505.16	MBOAT7	79143
ENSG00000125508.3	SRMS	6725
ENSG00000125510.15	OPRL1	4987
ENSG00000125520.13	SLC2A4RG	56731
ENSG00000125522.3	NPBWR2	2832
ENSG00000125531.6	FNDC11	79025
ENSG00000125533.5	BHLHE23	128408
ENSG00000125534.9	PPDPF	79144
ENSG00000125538.11	IL1B	3553
ENSG00000125551.18	PLGLB2	5342
ENSG00000125571.9	IL37	27178
ENSG00000125611.15	CHCHD5	84269
ENSG00000125618.16	PAX8	7849
ENSG00000125629.14	INSIG2	51141
ENSG00000125630.15	POLR1B	84172
ENSG00000125633.10	CCDC93	54520
ENSG00000125637.15	PSD4	23550
ENSG00000125648.14	SLC25A23	79085
ENSG00000125650.4	PSPN	5623
ENSG00000125651.13	GTF2F1	2962
ENSG00000125652.7	ALKBH7	84266
ENSG00000125656.8	CLPP	8192
ENSG00000125657.4	TNFSF9	8744
ENSG00000125675.17	GRIA3	2892
ENSG00000125676.19	THOC2	57187
ENSG00000125686.11	MED1	5469
ENSG00000125691.12	RPL23	9349
ENSG00000125703.14	ATG4C	84938
ENSG00000125726.10	CD70	970
ENSG00000125730.16	C3	718
ENSG00000125731.12	SH2D3A	10045
ENSG00000125733.17	TRIP10	9322
ENSG00000125734.15	GPR108	56927
ENSG00000125735.10	TNFSF14	8740
ENSG00000125740.13	FOSB	2354
ENSG00000125741.4	OPA3	80207
ENSG00000125743.10	SNRPD2	6633
ENSG00000125744.11	RTN2	6253
ENSG00000125746.16	EML2	24139
ENSG00000125753.13	VASP	7408
ENSG00000125755.18	SYMPK	8189
ENSG00000125772.12	GPCPD1	56261
ENSG00000125775.14	SDCBP2	27111
ENSG00000125779.21	PANK2	80025
ENSG00000125780.11	TGM3	7053
ENSG00000125787.11	GNRH2	2797
ENSG00000125788.5	DEFB126	81623
ENSG00000125798.14	FOXA2	3170
ENSG00000125810.9	CD93	22918
ENSG00000125812.15	GZF1	64412
ENSG00000125813.13	PAX1	5075
ENSG00000125814.17	NAPB	63908
ENSG00000125815.8	CST8	10047
ENSG00000125816.4	NKX2-4	644524
ENSG00000125817.7	CENPB	1059
ENSG00000125818.17	PSMF1	9491
ENSG00000125820.5	NKX2-2	4821
ENSG00000125821.11	DTD1	92675
ENSG00000125823.12	CSTL1	128817
ENSG00000125826.20	RBCK1	10616
ENSG00000125827.8	TMX4	56255
ENSG00000125831.9	CST11	140880
ENSG00000125834.12	STK35	140901
ENSG00000125835.18	SNRPB	6628
ENSG00000125841.12	NRSN2	80023
ENSG00000125843.10	AP5S1	55317
ENSG00000125844.15	RRBP1	6238
ENSG00000125845.6	BMP2	650
ENSG00000125846.15	ZNF133	7692
ENSG00000125848.9	FLRT3	23767
ENSG00000125850.10	OVOL2	58495
ENSG00000125851.9	PCSK2	5126
ENSG00000125861.14	GFRA4	64096
ENSG00000125863.18	MKKS	8195
ENSG00000125864.13	BFSP1	631
ENSG00000125868.15	DSTN	11034
ENSG00000125869.9	LAMP5	24141
ENSG00000125870.10	SNRPB2	6629
ENSG00000125871.13	MGME1	92667
ENSG00000125872.7	LRRN4	164312
ENSG00000125875.13	TBC1D20	128637
ENSG00000125877.12	ITPA	3704
ENSG00000125878.6	TCF15	6939
ENSG00000125879.4	OTOR	56914
ENSG00000125885.13	MCM8	84515
ENSG00000125888.14	BANF2	140836
ENSG00000125895.5	TMEM74B	55321
ENSG00000125898.12	FAM110A	83541
ENSG00000125900.12	SIRPD	NA
ENSG00000125901.5	MRPS26	64949
ENSG00000125903.4	DEFB129	140881
ENSG00000125910.5	S1PR4	8698
ENSG00000125912.10	NCLN	56926
ENSG00000125931.10	CITED1	4435
ENSG00000125944.19	HNRNPR	10236
ENSG00000125945.14	ZNF436	80818
ENSG00000125952.18	MAX	4149
ENSG00000125954.12	CHURC1-FNTB	100529261
ENSG00000125962.14	ARMCX5	64860
ENSG00000125965.8	GDF5	8200
ENSG00000125966.9	MMP24	10893
ENSG00000125967.16	NECAB3	63941
ENSG00000125968.8	ID1	3397
ENSG00000125970.11	RALY	22913
ENSG00000125971.16	DYNLRB1	83658
ENSG00000125975.13	C20orf173	140873
ENSG00000125977.6	EIF2S2	8894
ENSG00000125991.19	ERGIC3	51614
ENSG00000125995.15	ROMO1	140823
ENSG00000125998.7	FAM83C	128876
ENSG00000125999.10	BPIFB1	92747
ENSG00000126001.15	CEP250	11190
ENSG00000126003.6	PLAGL2	5326
ENSG00000126005.16	MMP24-AS1	NA
ENSG00000126010.5	GRPR	2925
ENSG00000126012.11	KDM5C	8242
ENSG00000126016.15	AMOT	154796
ENSG00000126062.3	TMEM115	11070
ENSG00000126067.11	PSMB2	5690
ENSG00000126070.19	AGO3	192669
ENSG00000126088.13	UROD	7389
ENSG00000126091.19	ST3GAL3	6487
ENSG00000126106.13	TMEM53	79639
ENSG00000126107.14	HECTD3	79654
ENSG00000126214.21	KLC1	3831
ENSG00000126215.13	XRCC3	7517
ENSG00000126216.13	TUBGCP3	10426
ENSG00000126217.20	MCF2L	23263
ENSG00000126218.11	F10	2159
ENSG00000126226.21	PCID2	55795
ENSG00000126231.13	PROZ	8858
ENSG00000126233.1	SLURP1	57152
ENSG00000126243.8	LRFN3	79414
ENSG00000126246.9	IGFLR1	79713
ENSG00000126247.10	CAPNS1	826
ENSG00000126249.7	PDCD2L	84306
ENSG00000126251.6	GPR42	2866
ENSG00000126254.11	RBM42	79171
ENSG00000126259.19	KIRREL2	84063
ENSG00000126261.12	UBA2	10054
ENSG00000126262.4	FFAR2	2867
ENSG00000126264.9	HCST	10870
ENSG00000126266.3	FFAR1	2864
ENSG00000126267.8	COX6B1	1340
ENSG00000126337.13	KRT36	8689
ENSG00000126351.12	THRA	7067
ENSG00000126353.3	CCR7	1236
ENSG00000126368.5	NR1D1	9572
ENSG00000126391.13	FRMD8	83786
ENSG00000126432.13	PRDX5	25824
ENSG00000126453.9	BCL2L12	83596
ENSG00000126456.15	IRF3	3661
ENSG00000126457.21	PRMT1	3276
ENSG00000126458.3	RRAS	6237
ENSG00000126460.10	PRRG2	5639
ENSG00000126461.14	SCAF1	58506
ENSG00000126464.13	PRR12	57479
ENSG00000126467.10	TSKS	60385
ENSG00000126500.3	FLRT1	23769
ENSG00000126522.16	ASL	435
ENSG00000126524.9	SBDS	51119
ENSG00000126545.13	CSN1S1	1446
ENSG00000126549.9	STATH	6779
ENSG00000126550.8	HTN1	3346
ENSG00000126561.16	STAT5A	6776
ENSG00000126562.16	WNK4	65266
ENSG00000126581.12	BECN1	8678
ENSG00000126583.10	PRKCG	5582
ENSG00000126602.10	TRAP1	10131
ENSG00000126603.8	GLIS2	84662
ENSG00000126653.17	NSRP1	84081
ENSG00000126698.10	DNAJC8	22826
ENSG00000126705.13	AHDC1	27245
ENSG00000126709.14	IFI6	2537
ENSG00000126733.20	DACH2	117154
ENSG00000126746.17	ZNF384	171017
ENSG00000126749.14	EMG1	10436
ENSG00000126752.7	SSX1	6756
ENSG00000126756.11	UXT	8409
ENSG00000126759.13	CFP	5199
ENSG00000126767.17	ELK1	2002
ENSG00000126768.12	TIMM17B	10245
ENSG00000126773.12	PCNX4	64430
ENSG00000126775.8	ATG14	22863
ENSG00000126777.17	KTN1	3895
ENSG00000126778.8	SIX1	6495
ENSG00000126785.12	RHOJ	57381
ENSG00000126787.12	DLGAP5	9787
ENSG00000126790.11	L3HYPDH	112849
ENSG00000126803.9	HSPA2	3306
ENSG00000126804.13	ZBTB1	22890
ENSG00000126814.6	TRMT5	57570
ENSG00000126821.7	SGPP1	81537
ENSG00000126822.16	PLEKHG3	26030
ENSG00000126838.9	PZP	5858
ENSG00000126856.13	PRDM7	11105
ENSG00000126858.16	RHOT1	55288
ENSG00000126860.11	EVI2A	2123
ENSG00000126861.4	OMG	4974
ENSG00000126870.15	WDR60	55112
ENSG00000126878.12	AIF1L	83543
ENSG00000126882.12	FAM78A	286336
ENSG00000126883.16	NUP214	8021
ENSG00000126890.13	CTAG2	30848
ENSG00000126895.13	AVPR2	554
ENSG00000126903.15	SLC10A3	8273
ENSG00000126934.13	MAP2K2	5605
ENSG00000126945.8	HNRNPH2	3188
ENSG00000126947.12	ARMCX1	51309
ENSG00000126950.7	TMEM35A	59353
ENSG00000126952.16	NXF5	55998
ENSG00000126953.5	TIMM8A	1678
ENSG00000126970.15	ZC4H2	55906
ENSG00000127022.14	CANX	821
ENSG00000127054.20	INTS11	54973
ENSG00000127074.14	RGS13	6003
ENSG00000127080.9	IPPK	64768
ENSG00000127081.13	ZNF484	83744
ENSG00000127083.7	OMD	4958
ENSG00000127084.17	FGD3	89846
ENSG00000127124.14	HIVEP3	59269
ENSG00000127125.8	PPCS	79717
ENSG00000127129.9	EDN2	1907
ENSG00000127152.17	BCL11B	64919
ENSG00000127184.12	COX7C	NA
ENSG00000127191.17	TRAF2	7186
ENSG00000127220.5	ABHD8	79575
ENSG00000127241.16	MASP1	5648
ENSG00000127249.14	ATP13A4	84239
ENSG00000127252.5	HRASLS	57110
ENSG00000127311.9	HELB	92797
ENSG00000127314.17	RAP1B	5908
ENSG00000127318.10	IL22	50616
ENSG00000127324.8	TSPAN8	7103
ENSG00000127325.18	BEST3	144453
ENSG00000127328.21	RAB3IP	117177
ENSG00000127329.15	PTPRB	5787
ENSG00000127334.10	DYRK2	8445
ENSG00000127337.6	YEATS4	8089
ENSG00000127362.2	TAS2R3	50831
ENSG00000127364.3	TAS2R4	50832
ENSG00000127366.5	TAS2R5	54429
ENSG00000127377.8	CRYGN	155051
ENSG00000127399.14	LRRC61	65999
ENSG00000127412.6	TRPV5	56302
ENSG00000127415.12	IDUA	3425
ENSG00000127418.14	FGFRL1	53834
ENSG00000127419.16	TMEM175	84286
ENSG00000127423.10	AUNIP	79000
ENSG00000127445.13	PIN1	5300
ENSG00000127452.8	FBXL12	54850
ENSG00000127463.14	EMC1	23065
ENSG00000127472.10	PLA2G5	5322
ENSG00000127481.14	UBR4	23352
ENSG00000127483.17	HP1BP3	50809
ENSG00000127507.17	ADGRE2	30817
ENSG00000127511.9	SIN3B	23309
ENSG00000127515.2	OR7A10	390892
ENSG00000127526.14	SLC35E1	79939
ENSG00000127527.13	EPS15L1	58513
ENSG00000127528.5	KLF2	10365
ENSG00000127529.7	OR7C2	26658
ENSG00000127530.3	OR7C1	26664
ENSG00000127533.3	F2RL3	9002
ENSG00000127540.11	UQCR11	10975
ENSG00000127554.12	GFER	2671
ENSG00000127561.14	SYNGR3	9143
ENSG00000127564.16	PKMYT1	9088
ENSG00000127578.6	WFIKKN1	117166
ENSG00000127580.15	WDR24	84219
ENSG00000127585.11	FBXL16	146330
ENSG00000127586.16	CHTF18	63922
ENSG00000127588.4	GNG13	51764
ENSG00000127603.24	MACF1	23499
ENSG00000127616.17	SMARCA4	6597
ENSG00000127663.14	KDM4B	23030
ENSG00000127666.9	TICAM1	148022
ENSG00000127720.7	METTL25	84190
ENSG00000127743.5	IL17B	27190
ENSG00000127774.6	EMC6	83460
ENSG00000127780.3	OR1E2	8388
ENSG00000127804.12	METTL16	79066
ENSG00000127824.13	TUBA4A	7277
ENSG00000127831.10	VIL1	7429
ENSG00000127837.9	AAMP	14
ENSG00000127838.13	PNKD	25953
ENSG00000127863.15	TNFRSF19	55504
ENSG00000127870.16	RNF6	6049
ENSG00000127884.4	ECHS1	1892
ENSG00000127903.13	ZNF835	90485
ENSG00000127914.16	AKAP9	10142
ENSG00000127920.5	GNG11	2791
ENSG00000127922.9	SEM1	7979
ENSG00000127928.12	GNGT1	2792
ENSG00000127946.16	HIP1	3092
ENSG00000127947.15	PTPN12	5782
ENSG00000127948.15	POR	5447
ENSG00000127951.6	FGL2	10875
ENSG00000127952.16	STYXL1	51657
ENSG00000127954.12	STEAP4	79689
ENSG00000127955.15	GNAI1	2770
ENSG00000127980.15	PEX1	5189
ENSG00000127989.13	MTERF1	7978
ENSG00000127990.15	SGCE	8910
ENSG00000127993.15	RBM48	84060
ENSG00000127995.16	CASD1	64921
ENSG00000128000.15	ZNF780B	163131
ENSG00000128011.4	LRFN1	57622
ENSG00000128016.5	ZFP36	7538
ENSG00000128039.10	SRD5A3	79644
ENSG00000128040.10	SPINK2	6691
ENSG00000128045.6	RASL11B	65997
ENSG00000128050.8	PAICS	10606
ENSG00000128052.8	KDR	3791
ENSG00000128059.8	PPAT	5471
ENSG00000128159.11	TUBGCP6	85378
ENSG00000128165.8	ADM2	79924
ENSG00000128185.9	DGCR6L	85359
ENSG00000128191.15	DGCR8	54487
ENSG00000128203.6	ASPHD2	57168
ENSG00000128218.7	VPREB3	29802
ENSG00000128228.4	SDF2L1	23753
ENSG00000128242.12	GAL3ST1	9514
ENSG00000128245.14	YWHAH	7533
ENSG00000128250.5	RFPL1	5988
ENSG00000128253.13	RFPL2	10739
ENSG00000128266.8	GNAZ	2781
ENSG00000128268.11	MGAT3	4248
ENSG00000128271.21	ADORA2A	135
ENSG00000128272.14	ATF4	468
ENSG00000128274.15	A4GALT	53947
ENSG00000128276.10	RFPL3	10738
ENSG00000128283.6	CDC42EP1	11135
ENSG00000128284.19	APOL3	80833
ENSG00000128285.4	MCHR1	2847
ENSG00000128294.15	TPST2	8459
ENSG00000128298.16	BAIAP2L2	80115
ENSG00000128309.16	MPST	4357
ENSG00000128310.2	GALR3	8484
ENSG00000128311.13	TST	7263
ENSG00000128313.2	APOL5	80831
ENSG00000128322.6	IGLL1	3543
ENSG00000128335.13	APOL2	23780
ENSG00000128340.14	RAC2	5880
ENSG00000128342.4	LIF	3976
ENSG00000128346.10	C22orf23	84645
ENSG00000128383.12	APOBEC3A	200315
ENSG00000128394.16	APOBEC3F	200316
ENSG00000128408.8	RIBC2	26150
ENSG00000128422.15	KRT17	3872
ENSG00000128463.12	EMC4	51234
ENSG00000128482.15	RNF112	7732
ENSG00000128487.16	SPECC1	92521
ENSG00000128510.10	CPA4	51200
ENSG00000128512.20	DOCK4	9732
ENSG00000128513.14	POT1	25913
ENSG00000128519.3	TAS2R16	50833
ENSG00000128524.4	ATP6V1F	9296
ENSG00000128534.7	LSM8	51691
ENSG00000128536.15	CDHR3	222256
ENSG00000128563.13	PRKRIP1	79706
ENSG00000128564.6	VGF	7425
ENSG00000128567.16	PODXL	5420
ENSG00000128573.24	FOXP2	93986
ENSG00000128578.9	STRIP2	57464
ENSG00000128581.15	IFT22	64792
ENSG00000128585.17	MKLN1	4289
ENSG00000128590.4	DNAJB9	4189
ENSG00000128591.15	FLNC	2318
ENSG00000128594.7	LRRC4	64101
ENSG00000128595.16	CALU	813
ENSG00000128596.16	CCDC136	64753
ENSG00000128602.9	SMO	6608
ENSG00000128604.19	IRF5	3663
ENSG00000128606.12	LRRC17	10234
ENSG00000128607.13	KLHDC10	23008
ENSG00000128609.14	NDUFA5	4698
ENSG00000128610.11	FEZF1	389549
ENSG00000128617.2	OPN1SW	611
ENSG00000128626.11	MRPS12	6183
ENSG00000128641.18	MYO1B	4430
ENSG00000128645.14	HOXD1	3231
ENSG00000128652.11	HOXD3	3232
ENSG00000128654.13	MTX2	10651
ENSG00000128655.17	PDE11A	50940
ENSG00000128656.13	CHN1	1123
ENSG00000128683.13	GAD1	2571
ENSG00000128694.11	OSGEPL1	64172
ENSG00000128699.13	ORMDL1	94101
ENSG00000128708.12	HAT1	8520
ENSG00000128709.12	HOXD9	3235
ENSG00000128710.5	HOXD10	3236
ENSG00000128713.13	HOXD11	3237
ENSG00000128714.5	HOXD13	3239
ENSG00000128731.15	HERC2	8924
ENSG00000128739.21	SNRPN	6638
ENSG00000128789.20	PSMG2	56984
ENSG00000128791.11	TWSG1	57045
ENSG00000128805.14	ARHGAP22	58504
ENSG00000128815.19	WDFY4	57705
ENSG00000128829.11	EIF2AK4	440275
ENSG00000128833.12	MYO5C	55930
ENSG00000128849.10	CGNL1	84952
ENSG00000128872.9	TMOD2	29767
ENSG00000128881.16	TTBK2	146057
ENSG00000128886.11	ELL3	80237
ENSG00000128891.15	CCDC32	90416
ENSG00000128908.15	INO80	54617
ENSG00000128915.11	ICE2	79664
ENSG00000128917.6	DLL4	54567
ENSG00000128918.14	ALDH1A2	8854
ENSG00000128923.10	MINDY2	54629
ENSG00000128928.8	IVD	3712
ENSG00000128944.13	KNSTRN	90417
ENSG00000128951.13	DUT	1854
ENSG00000128965.11	CHAC1	79094
ENSG00000128973.12	CLN6	54982
ENSG00000128989.10	ARPP19	10776
ENSG00000129003.15	VPS13C	54832
ENSG00000129007.14	CALML4	91860
ENSG00000129009.12	ISLR	3671
ENSG00000129028.8	THAP10	56906
ENSG00000129038.15	LOXL1	4016
ENSG00000129048.6	ACKR4	51554
ENSG00000129055.12	ANAPC13	25847
ENSG00000129071.9	MBD4	8930
ENSG00000129083.12	COPB1	1315
ENSG00000129084.17	PSMA1	5682
ENSG00000129103.17	SUMF2	25870
ENSG00000129116.17	PALLD	23022
ENSG00000129128.12	SPCS3	60559
ENSG00000129151.8	BBOX1	8424
ENSG00000129152.3	MYOD1	4654
ENSG00000129158.10	SERGEF	26297
ENSG00000129159.7	KCNC1	3746
ENSG00000129167.9	TPH1	7166
ENSG00000129170.8	CSRP3	8048
ENSG00000129173.12	E2F8	79733
ENSG00000129187.14	DCTD	1635
ENSG00000129194.7	SOX15	6665
ENSG00000129195.15	PIMREG	54478
ENSG00000129197.14	RPAIN	84268
ENSG00000129204.16	USP6	9098
ENSG00000129214.14	SHBG	6462
ENSG00000129219.13	PLD2	5338
ENSG00000129221.15	AIPL1	23746
ENSG00000129226.13	CD68	968
ENSG00000129235.10	TXNDC17	84817
ENSG00000129244.8	ATP1B2	482
ENSG00000129245.11	FXR2	9513
ENSG00000129250.11	KIF1C	10749
ENSG00000129255.15	MPDU1	9526
ENSG00000129292.20	PHF20L1	51105
ENSG00000129295.8	LRRC6	23639
ENSG00000129315.10	CCNT1	904
ENSG00000129317.14	PUS7L	83448
ENSG00000129347.19	KRI1	65095
ENSG00000129351.17	ILF3	3609
ENSG00000129353.14	SLC44A2	57153
ENSG00000129354.11	AP1M2	10053
ENSG00000129355.6	CDKN2D	1032
ENSG00000129422.14	MTUS1	57509
ENSG00000129437.9	KLK14	43847
ENSG00000129450.8	SIGLEC9	27180
ENSG00000129451.11	KLK10	5655
ENSG00000129455.15	KLK8	11202
ENSG00000129460.15	NGDN	25983
ENSG00000129465.15	RIPK3	11035
ENSG00000129467.13	ADCY4	196883
ENSG00000129472.13	RAB2B	84932
ENSG00000129473.9	BCL2L2	599
ENSG00000129474.15	AJUBA	84962
ENSG00000129480.12	DTD2	112487
ENSG00000129484.13	PARP2	10038
ENSG00000129493.14	HEATR5A	25938
ENSG00000129514.5	FOXA1	3169
ENSG00000129515.18	SNX6	58533
ENSG00000129518.8	EAPP	55837
ENSG00000129521.13	EGLN3	112399
ENSG00000129534.13	MIS18BP1	55320
ENSG00000129535.12	NRL	4901
ENSG00000129538.13	RNASE1	6035
ENSG00000129559.12	NEDD8	4738
ENSG00000129562.10	DAD1	1603
ENSG00000129566.12	TEP1	7011
ENSG00000129595.12	EPB41L4A	64097
ENSG00000129596.4	CDO1	1036
ENSG00000129625.12	REEP5	7905
ENSG00000129636.12	ITFG1	81533
ENSG00000129646.14	QRICH2	84074
ENSG00000129654.7	FOXJ1	2302
ENSG00000129657.14	SEC14L1	6397
ENSG00000129667.12	RHBDF2	79651
ENSG00000129673.9	AANAT	15
ENSG00000129675.15	ARHGEF6	9459
ENSG00000129680.15	MAP7D3	79649
ENSG00000129682.15	FGF13	2258
ENSG00000129691.15	ASH2L	9070
ENSG00000129696.12	TTI2	80185
ENSG00000129744.2	ART1	417
ENSG00000129749.3	CHRNA10	57053
ENSG00000129757.12	CDKN1C	1028
ENSG00000129810.14	SGO1	151648
ENSG00000129824.15	RPS4Y1	6192
ENSG00000129862.6	VCY1B	353513
ENSG00000129864.6	VCY	9084
ENSG00000129873.7	CDY2B	203611
ENSG00000129910.7	CDH15	1013
ENSG00000129911.8	KLF16	83855
ENSG00000129925.10	TMEM8A	58986
ENSG00000129932.8	DOHH	83475
ENSG00000129933.20	MAU2	23383
ENSG00000129946.10	SHC2	25759
ENSG00000129951.18	PLPPR3	79948
ENSG00000129965.14	INS-IGF2	723961
ENSG00000129968.15	ABHD17A	81926
ENSG00000129988.5	LBP	3929
ENSG00000129990.14	SYT5	6861
ENSG00000129991.12	TNNI3	7137
ENSG00000129993.14	CBFA2T3	863
ENSG00000130005.12	GAMT	2593
ENSG00000130021.13	PUDP	8226
ENSG00000130023.15	ERMARD	55780
ENSG00000130024.14	PHF10	55274
ENSG00000130032.15	PRRG3	79057
ENSG00000130035.6	GALNT8	26290
ENSG00000130037.4	KCNA5	3741
ENSG00000130038.9	CRACR2A	84766
ENSG00000130045.15	NXNL2	158046
ENSG00000130052.13	STARD8	9754
ENSG00000130054.4	FAM155B	27112
ENSG00000130055.13	GDPD2	54857
ENSG00000130066.16	SAT1	6303
ENSG00000130119.15	GNL3L	54552
ENSG00000130147.15	SH3BP4	23677
ENSG00000130150.11	MOSPD2	158747
ENSG00000130158.13	DOCK6	57572
ENSG00000130159.13	ECSIT	51295
ENSG00000130164.13	LDLR	3949
ENSG00000130165.10	ELOF1	84337
ENSG00000130167.13	TSPAN16	26526
ENSG00000130173.13	ANGPTL8	55908
ENSG00000130175.9	PRKCSH	5589
ENSG00000130176.7	CNN1	1264
ENSG00000130177.14	CDC16	8881
ENSG00000130182.7	ZSCAN10	84891
ENSG00000130193.7	THEM6	51337
ENSG00000130202.9	NECTIN2	5819
ENSG00000130203.9	APOE	348
ENSG00000130204.12	TOMM40	10452
ENSG00000130208.9	APOC1	341
ENSG00000130222.10	GADD45G	10912
ENSG00000130224.14	LRCH2	57631
ENSG00000130226.16	DPP6	1804
ENSG00000130227.16	XPO7	23039
ENSG00000130234.10	ACE2	59272
ENSG00000130244.12	FAM98C	147965
ENSG00000130254.11	SAFB2	9667
ENSG00000130255.12	RPL36	25873
ENSG00000130270.16	ATP8B3	148229
ENSG00000130283.8	GDF1	NA
ENSG00000130287.13	NCAN	1463
ENSG00000130294.15	KIF1A	547
ENSG00000130299.16	GTPBP3	84705
ENSG00000130300.8	PLVAP	83483
ENSG00000130303.12	BST2	684
ENSG00000130304.16	SLC27A1	376497
ENSG00000130305.16	NSUN5	55695
ENSG00000130307.11	USHBP1	83878
ENSG00000130309.10	COLGALT1	79709
ENSG00000130311.10	DDA1	79016
ENSG00000130312.6	MRPL34	64981
ENSG00000130313.6	PGLS	25796
ENSG00000130332.14	LSM7	51690
ENSG00000130338.12	TULP4	56995
ENSG00000130340.15	SNX9	51429
ENSG00000130347.12	RTN4IP1	84816
ENSG00000130348.11	QRSL1	55278
ENSG00000130349.9	C6orf203	51250
ENSG00000130363.11	RSPH3	83861
ENSG00000130368.5	MAS1	4142
ENSG00000130377.13	ACSBG2	81616
ENSG00000130382.8	MLLT1	4298
ENSG00000130383.7	FUT5	2527
ENSG00000130385.5	BMP15	9210
ENSG00000130396.20	AFDN	4301
ENSG00000130402.11	ACTN4	81
ENSG00000130413.15	STK33	65975
ENSG00000130414.11	NDUFA10	4705
ENSG00000130427.2	EPO	2056
ENSG00000130429.12	ARPC1B	10095
ENSG00000130433.7	CACNG6	59285
ENSG00000130449.5	ZSWIM6	57688
ENSG00000130475.14	FCHO1	23149
ENSG00000130477.15	UNC13A	23025
ENSG00000130479.10	MAP1S	55201
ENSG00000130487.5	KLHDC7B	113730
ENSG00000130489.14	SCO2	9997
ENSG00000130508.10	PXDN	7837
ENSG00000130511.15	SSBP4	170463
ENSG00000130513.6	GDF15	9518
ENSG00000130517.13	PGPEP1	54858
ENSG00000130518.16	KIAA1683	80726
ENSG00000130520.10	LSM4	25804
ENSG00000130522.5	JUND	3727
ENSG00000130528.11	HRC	3270
ENSG00000130529.15	TRPM4	54795
ENSG00000130538.4	OR11H1	81061
ENSG00000130540.13	SULT4A1	25830
ENSG00000130544.11	ZNF557	79230
ENSG00000130545.15	CRB3	92359
ENSG00000130558.19	OLFM1	10439
ENSG00000130559.18	CAMSAP1	157922
ENSG00000130560.8	UBAC1	10422
ENSG00000130561.16	SAG	6295
ENSG00000130584.10	ZBTB46	140685
ENSG00000130589.16	HELZ2	85441
ENSG00000130590.13	SAMD10	140700
ENSG00000130592.15	LSP1	4046
ENSG00000130595.18	TNNT3	7140
ENSG00000130598.15	TNNI2	7136
ENSG00000130635.15	COL5A1	1289
ENSG00000130638.16	ATXN10	25814
ENSG00000130640.13	TUBGCP2	10844
ENSG00000130643.8	CALY	50632
ENSG00000130649.9	CYP2E1	1571
ENSG00000130653.15	PNPLA7	375775
ENSG00000130656.4	HBZ	3050
ENSG00000130669.17	PAK4	10298
ENSG00000130675.14	MNX1	3110
ENSG00000130684.13	ZNF337	26152
ENSG00000130695.14	CEP85	64793
ENSG00000130699.18	TAF4	6874
ENSG00000130700.6	GATA5	140628
ENSG00000130701.3	RBBP8NL	140893
ENSG00000130702.15	LAMA5	3911
ENSG00000130703.15	OSBPL2	9885
ENSG00000130706.12	ADRM1	11047
ENSG00000130707.17	ASS1	445
ENSG00000130711.3	PRDM12	59335
ENSG00000130713.15	EXOSC2	23404
ENSG00000130714.15	POMT1	10585
ENSG00000130717.12	UCK1	83549
ENSG00000130720.12	FIBCD1	84929
ENSG00000130723.18	PRRC2B	84726
ENSG00000130724.8	CHMP2A	27243
ENSG00000130725.7	UBE2M	9040
ENSG00000130726.11	TRIM28	10155
ENSG00000130731.15	METTL26	84326
ENSG00000130733.10	YIPF2	78992
ENSG00000130734.9	ATG4D	84971
ENSG00000130741.10	EIF2S3	1968
ENSG00000130748.6	TMEM160	54958
ENSG00000130749.9	ZC3H4	23211
ENSG00000130751.9	NPAS1	4861
ENSG00000130755.12	GMFG	9535
ENSG00000130758.7	MAP3K10	4294
ENSG00000130762.14	ARHGEF16	27237
ENSG00000130764.9	LRRC47	57470
ENSG00000130766.4	SESN2	83667
ENSG00000130768.14	SMPDL3B	27293
ENSG00000130770.17	ATPIF1	93974
ENSG00000130772.13	MED18	54797
ENSG00000130775.15	THEMIS2	9473
ENSG00000130779.19	CLIP1	6249
ENSG00000130783.13	CCDC62	84660
ENSG00000130787.13	HIP1R	9026
ENSG00000130803.14	ZNF317	57693
ENSG00000130810.19	PPAN	56342
ENSG00000130811.11	EIF3G	8666
ENSG00000130812.10	ANGPTL6	83854
ENSG00000130813.17	C19orf66	55337
ENSG00000130816.14	DNMT1	1786
ENSG00000130818.11	ZNF426	79088
ENSG00000130821.15	SLC6A8	6535
ENSG00000130822.15	PNCK	139728
ENSG00000130826.17	DKC1	1736
ENSG00000130827.6	PLXNA3	55558
